ubicacion;modelo_nombre;host;sisOperativo;arquitectura;ram;Memoria RAM;RAM Tipo;almacenamiento;D.D Capacidad;HDD/SSD;procesador;serial;macEthernet;macWifi;sapVersion;estado;officeVersion
Edificio 1;15 Notebook PC;jppacheco-nbk;Windows 10 Pro;x64;6 GB DDR3;6 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz;5CD444C2CG;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;15 Notebook PC;compen-nbk;Windows 10 Pro N;x64;6 GB DDR3;6 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz;5CD444C2H0;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;20351;cfernandez-nbk;Windows 10 Pro;x64;6 GB DDR3;6 GB;DDR3;C:, E: 465.76 GB HDD;C:, E: 465.76 GB;HDD;Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz;1,05472E+12;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;240 G4 Notebook PC;jrodriguezm-nbk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 931.51 GB HDD;C: 931.51 GB;HDD;Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz;5CG5512K30;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;240 G4 Notebook PC;llgarcia-nbk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 931.51 GB HDD;C: 931.51 GB;HDD;Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz;5CG5510LJR;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;240 G4 Notebook PC;wtorres-nbk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core™i3-5005U CPU @2.00GHz;5CG611471H;;;7.70;Resguardo;2013
Edificio 1;E430;aoarconl-nbk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz;P800EGC;No Aplica;No Aplica;7.40;Resguardo;2013
Edificio 1;E430;avera-nbk;Windows 10 Pro;x64;6 GB DDR3;6 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz;P800G24;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 4 Sala de Control;Compaq 500B MT;instruoxve2-dsk;Windows 7 Professional;x32;4 GB DDR3;4 GB;DDR3;C: 698.64 GB HDD;C: 698.64 GB;HDD;Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz;MXL0370XL8;D4:85:64:02:27:20;No Aplica;7.40;Resguardo;2013
Sala de Control Planta Quimica;Compaq 500B MT;OPRESINA-DSK;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C: 298.09 GB HDD;C: 298.09 GB;HDD;Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz;MXL0150647;d8d3857b96e6;No aplica;7.40;Resguardo;2013
