nombre;ceco;sociedad;gerencia_nombre
Gcia. de Personas,Cultura y Comunicacion;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Jefatura Administracion de Personal;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Jefatura de Beneficios;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Jefatura de Compensaciones y Presupuesto;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Jefatura de Seleccion y Desarrollo;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Jefatura RRII y Servicios Externos;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Subgerencia de Administracion y RRII;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Subgerencia de Talento y Compensaciones;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Supervision de Remuneraciones;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Supervision de Seleccion y Desarrollo;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Supervision RRII y Servicios Externos;TZZH101001;FIVE;Gcia. De Personas, Cultura y Comunicacion
Gerencia de Administracion y Finanzas;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura Costos Industriales y Forestale;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Contabilidad y Costos;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Control Interno;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Credito y Cobranzas;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Cuentas por Pagar;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Finanzas;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Gestion y Ppto;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de Impuestos;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Jefatura de IT & Comunicaciones;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Subgerencia de Administracion;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Subgerencia de Finanzas;TZZH101001;FIVE;Gerencia de Administracion y Finanzas
Gerencia de Ventas Nacionales y Mercadeo;TZZH101002;FIVE;Gerencia de Ventas Nacionales y Mercadeo
Jefatura Regional de Ventas;TZZH101002;FIVE;Gerencia de Ventas Nacionales y Mercadeo
Jefatura Servicio al Cliente/Exportacion;TZZH101002;FIVE;Gerencia de Ventas Nacionales y Mercadeo
Gerencia  Forestal e Institucional;FZZF101101;TEVE;Gerencia Forestal e Institucional
Jefatura Cosecha Forestal;FZZF530202;TEVE;Gerencia Forestal e Institucional
Jefatura de Abastecimiento Forestal;FZZF530202;TEVE;Gerencia Forestal e Institucional
Jefatura de Planificacion;FZZF530601;TEVE;Gerencia Forestal e Institucional
Jefatura de Proteccion Forestal;FZZF530701;TEVE;Gerencia Forestal e Institucional
Jefatura Operaciones Silvicolas;FZZF530102;TEVE;Gerencia Forestal e Institucional
Jefatura Produccion de Plantas;FZZF530301;TEVE;Gerencia Forestal e Institucional
Subgerencia de Patrimonio;FZZF101101;TEVE;Gerencia Forestal e Institucional
Supervision Abastecimiento Forestal;FZZF530202;TEVE;Gerencia Forestal e Institucional
Supervision Produccion de Plantas;FZZF530301;TEVE;Gerencia Forestal e Institucional
Supervisor de Proteccion Forestal;FZZF530301;TEVE;Gerencia Forestal e Institucional
Gerencia General Venezuela;TZZH101001;FIVE;Gerencia General
Gerencia Legal;TZZH101001;FIVE;Gerencia Legal
Afilado;MZZM200105;ANVE;Gerencia Operaciones Industriales y Sum.
Bodega de Producto Terminado;TZZH101004;FIVE;Gerencia Operaciones Industriales y Sum.
Cancha y Descortezado;MZZM200101;ANVE;Gerencia Operaciones Industriales y Sum.
Control de Produccion;MZZM200107;ANVE;Gerencia Operaciones Industriales y Sum.
Gerencia de Operaciones Tableros;TZZT100001;FIVE;Gerencia Operaciones Industriales y Sum.
